# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Proxima Cen b,Confirmed,0.004,0.0006,0.0006,0.004,0.0006,0.0006,,,,11.186,0.001,0.001,0.0485,0.0041,0.0041,0,0,0.35,,,,,2016,24/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HIP 70890 b, GL 551 C b, alpha Cen C b",,Proxima Centauri,217.4291667,-62.67944447,11.13,,,,,1.295,,,,,,0.12,0.015,0.015,0.141,0.021,0.021,M5.5V,,,,3050,100,100,,,"HIP 70890, GL 551, alpha Cen C"
alf Cen B b,Confirmed,0.0036,0.0003,0.0003,0.0036,0.0003,0.0003,,,,3.2357,0.0008,0.0008,0.04,,,0,,,,,,,2012,05/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,alpha Cen B,219.8958,-60.8375,1.33,,,,,1.295,,,,,,0.934,0.006,0.006,0.8632,0.0037,0.0037,K1V,,,,5214,33,33,,,
WISE 0855-0714,Confirmed,6,4,4,,,,,,,,,,,,,,,,,,,,2014,02/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE 0855-0714,133.7958333,-7.245277792,,,,,,2.31,0.08,0.08,,,,,,,,,,,3,2,7,,,,,,
Lalande 21185 b,Confirmed,0.012,,,0.012,,,,,,9.8693,0.0016,0.0016,,,,,,,,,,,2017,14/02/2017,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.31,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Lalande 21185,165.8333333,35.97000002,,,,,,2.55,0.005,0.005,,,,0.46,,,0.393,,,M1.5V,,,,3828,,,,,
eps Eridani b,Confirmed,3.09,0.742,0.949,1.55,0.24,0.24,,,,2502,10,10,3.39,0.36,0.36,0.702,0.039,0.039,30.1,3.8,3.8,1.059375,2000,29/07/2016,47,3,3,54207,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HR 1084, SAO 130564, GJ 144, HD 22049",,eps Eridani,53.2291667,-9.4580556,3.73,,,,,3.2,,,-0.13,0.04,0.04,0.83,0.05,0.05,0.895,0.085,0.085,K2 V,0.66,,,5116,,,Imaging,,HD 22049
GJ 15 A b,Confirmed,0.016832898,0.002359752,0.002359752,0.016832898,0.002359752,0.002359752,,,,11.4433,0.0016,0.0016,0.0717,0.0034,0.0034,0,,,,,,,2014,23/02/2016,,,,,,,2455874.95,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 15 A,4.595355508,44.02295228,8.08,,,,,3.587,0.01,0.01,-0.32,0.17,0.17,0.375,0.057,0.057,0.3863,0.0021,0.0021,M2V,,,,3567,11,11,,,"HD 1326A, HIP 1475, GX Andromedae, Groombridge 34, M2"
YZ Cet b,Confirmed,0.0024,0.00041,0.00041,0.0024,0.00041,0.00041,,,,1.96876,0.00021,0.00021,0.01557,0.00052,0.00052,0,0,0.12,,,,,2017,15/08/2017,,,,,,,2456846.911,0.095,0.095,,,,,,,,,,,,,,,,1.48,0.25,0.25,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,YZ Cet,18.12708334,-16.99888892,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4,0.6,0.6,3056,60,60,,,
YZ Cet c,Confirmed,0.0031,0.00044,0.00044,0.0031,0.00044,0.00044,,,,3.06008,0.00022,0.00022,0.0209,0.0007,0.0007,0.04,0.04,0.11,,,,,2017,15/08/2017,,,,,,,2456847.05,0.14,0.14,,,,,,,,,,,,,,,,1.68,0.23,0.23,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,YZ Cet,18.12708334,-16.99888892,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4,0.6,0.6,3056,60,60,,,
YZ Cet d,Confirmed,0.00359,0.00053,0.00053,0.00359,0.00053,0.00053,,,,4.65627,0.00042,0.00042,0.02764,0.00093,0.00093,0.129,0.096,0.096,,,,,2017,15/08/2017,,,,,,,2456847.44,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HIP 5643, GJ 54.1",,YZ Cet,18.12708334,-16.99888892,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4,0.6,0.6,3056,60,60,,,
tau Cet e,Confirmed,0.0124,0.002,0.0026,0.0124,0.002,0.0026,,,,162.87,0.46,1.08,0.538,0.006,0.006,0.18,0.14,0.18,,,,,2012,15/08/2017,22,46,75,,,,,,,,,,,,,,,,,,,,,,0.55,0.09,0.13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 10700 e,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,0.002,0.002,-0.55,0.05,0.05,0.783,0.012,0.012,0.793,0.004,0.004,G8.5 V,5.8,,,5344,50,50,Imaging,,
tau Cet f,Confirmed,0.0124,0.00431,0.0033,0.0124,0.00431,0.0033,,,,636.13,47.69,11.7,1.334,0.044,0.017,0.16,0.16,0.07,,,,,2012,15/08/2017,120,70.5,41.2,,,,,,,,,,,,,,,,,,,,,,0.35,0.12,0.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 10700 f,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,0.002,0.002,-0.55,0.05,0.05,0.783,0.012,0.012,0.793,0.004,0.004,G8.5 V,5.8,,,5344,50,50,Imaging,,
tau Cet g,Confirmed,0.00551,0.0013,0.00079,0.00551,0.0013,0.00079,,,,20,0.01,0.02,0.133,0.002,0.001,0.06,0,0.013,,,,,2017,15/08/2017,35,84.8,36.1,,,,,,,,,,,,,,,,,,,,,,0.49,0.11,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,0.002,0.002,-0.55,0.05,0.05,0.783,0.012,0.012,0.793,0.004,0.004,G8.5 V,5.8,,,5344,50,50,Imaging,,
tau Cet h,Confirmed,0.00576,0.00082,0.0021,0.00576,0.00082,0.0021,,,,49.41,0.1,0.08,0.243,0.003,0.003,0.23,0.15,0.16,,,,,2017,15/08/2017,7.4,48,37,,,,,,,,,,,,,,,,,,,,,,0.39,0.06,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,0.002,0.002,-0.55,0.05,0.05,0.783,0.012,0.012,0.793,0.004,0.004,G8.5 V,5.8,,,5344,50,50,Imaging,,
GJ 273 b,Confirmed,0.00909,0.00082,0.00085,0.00909,0.00082,0.00085,,,,18.6498,0.0052,0.0059,0.091101,1.70E-05,1.90E-05,0.1,0.07,0.09,,,,,2017,21/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,
GJ 273 c,Confirmed,0.00371,0.0005,0.0005,0.00371,0.0005,0.0005,,,,4.7234,0.0004,0.0004,0.036467,2.00E-06,2.00E-06,0.17,0.12,0.13,,,,,2017,21/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 273,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382,49,49,,,
Kapteyn's b,Confirmed,0.015102413,0.003146336,0.003146336,0.015102413,0.003146336,0.003146336,,,,48.616,0.036,0.036,0.168,0.008,0.008,0.21,0.11,0.11,,,,,2014,13/05/2015,80.4,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,Kapteyn's,77.92083335,-45.01833334,8.8,,,,,3.91,0.01,0.01,-0.86,,,0.281,0.014,0.014,0.29,0.025,0.025,dM1,8,7.5,7.5,3550,50,50,,,
Kapteyn's c,Confirmed,0.022024353,0.003775603,0.003775603,0.022024353,0.003775603,0.003775603,,,,121.54,0.25,0.25,0.311,0.04,0.014,0.23,0.12,0.12,,,,,2014,04/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,Kapteyn's,77.92083335,-45.01833334,8.8,,,,,3.91,0.01,0.01,-0.86,,,0.281,0.014,0.014,0.29,0.025,0.025,dM1,8,7.5,7.5,3550,50,50,,,
Wolf 1061 b,Confirmed,0.00601,0.00079,0.00082,0.00601,0.00079,0.00082,,,,4.8869,0.0005,0.0005,0.0375,0.0013,0.0012,0.15,0.1,0.13,,,,,2015,30/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,1.67,0.19,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 628 b,,Wolf 1061,247.5752418,-12.6625898,10.07,,,,5.075,4.29,,,-0.09,0.09,0.09,0.25,,,0.307,0.027,0.027,M3V,,,,3342,49,49,,,GJ 628
Wolf 1061 c,Confirmed,0.0107,0.0013,0.0014,0.0107,0.0013,0.0014,,,,17.8719,0.0059,0.0059,0.089,0.0031,0.0029,0.11,0.07,0.1,,,,,2015,30/06/2017,37,47,47,,,,,,,,,,,,,,,,,,,,,,1.92,0.19,0.19,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 628 c,,Wolf 1061,247.5752418,-12.6625898,10.07,,,,5.075,4.29,,,-0.09,0.09,0.09,0.25,,,0.307,0.027,0.027,M3V,,,,3342,49,49,,,GJ 628
Wolf 1061 d,Confirmed,0.0242,0.00334,0.00352,0.0242,0.00334,0.00352,,,,217.21,0.52,0.55,0.47,0.017,0.0015,0.55,0.09,0.08,,,,,2015,30/06/2017,102,70,70,,,,,,,,,,,,,,,,,,,,,,2.23,0.29,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 628 d,,Wolf 1061,247.5752418,-12.6625898,10.07,,,,5.075,4.29,,,-0.09,0.09,0.09,0.25,,,0.307,0.027,0.027,M3V,,,,3342,49,49,,,GJ 628
GJ 687 b,Confirmed,0.058,0.007,0.007,0.058,0.007,0.007,,,,38.14,0.015,0.015,0.16353,4.30E-05,4.30E-05,0.04,0.08,0.08,,,,,2014,23/02/2016,359.3,121,121,2450603.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 687,264.1083333,68.33916668,9.15,,,,,4.5,0.115,0.115,,,,0.413,0.041,0.041,0.4183,0.007,0.007,M3.5V,,,,3413,28,28,,,
GJ 674 b,Confirmed,0.04,,,0.04,,,1.13,,,4.6944,0.00182591,0.00182591,0.039,,,0.07,0.0766,0.07,,,,0.00859,2007,27/02/2015,0.5,71.2,71.2,2453823.784,,,,,,,,,,,,,,,,,,,,,9.46,1.09,1.09,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,,,GJ 674,262.1666667,-46.8952778,9.38,,,,,4.54,0.03,0.03,-0.28,,,0.35,,,,,,M2.5,0.55,0.45,0.45,3600,100,100,,,
GJ 876 b,Confirmed,1.938,0.01361,0.0355,1.927,0.003,0.003,,,,61.03,3.81,3.81,0.208317,2.00E-05,2.00E-05,0,0.001,0.001,84,6,6,0.044323,2000,23/02/2016,116.7,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 876 c,Confirmed,0.856,0.0289,0.0319,0.637,0.002,0.002,,,,30.23,0.19,0.19,0.12959,2.40E-05,2.40E-05,0.002,0.001,0.001,48.07,2.06,2.06,0.027572,2000,23/02/2016,225.2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 876 d,Confirmed,0.022,0.0013,0.0013,0.017,0.001,0.001,,,,1.94,0.01,0.01,0.02080665,1.50E-07,1.50E-07,0.081,0.04,0.04,50,,,0.004427,2005,23/02/2016,157.4,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 876 e,Confirmed,0.045,0.0012,0.0012,0.039,0.001,0.001,,,,124.69,90.04,90.04,0.3343,0.0013,0.0013,0.073,0.048,0.048,59.5,,,0.071128,2010,23/02/2016,360,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 832 b,Confirmed,0.689047604,0.160463141,0.160463141,0.689047604,0.160463141,0.160463141,,,,3416,131,131,3.6,0.36,0.36,0.08,0.08,0.08,,,,0.688259,2008,29/08/2014,246,58,100,2451211,353,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 832,323.3916667,-49.0088889,8.67,,,,,4.94,0.025,0.025,-0.31,0.2,0.2,0.45,0.05,0.05,,,,,,,,,,,,,
GJ 832 c,Confirmed,0.01573168,0.009753642,0.009753642,0.01573168,0.009753642,0.009753642,,,,35.67,0.15,0.15,0.162,0.017,0.017,0.03,0.22,0.03,,,,,2014,24/06/2014,80,280,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 832,323.3916667,-49.0088889,8.67,,,,,4.94,0.025,0.025,-0.31,0.2,0.2,0.45,0.05,0.05,,,,,,,,,,,,,
GJ 570 D,Confirmed,42.5,4.5,4.5,,,,0.855,0.023,0.023,,,,1500,,,,,,,,,,2000,13/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,10,10,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,HR 5568 D,NH3,GJ 570 ABC,224.3666667,-21.4152778,5.64,,,,,5.91,0.06,0.06,0.06,,,0.802,0.04,0.04,,,,K4/M1/M3,,,,4758,,,,,HR 5568 ABC
SIMP0136+0933,Confirmed,12.7,1,1,,,,,,,,,,,,,,,,,,,,2017,02/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,Published in a refereed paper,Imaging,,,SIMP J013656.5+093347,,SIMP0136+0933 ,24.23591669,9.56313891,,,,,12.585,6,,,,,,,,,,,,T2.5,0.2,0.05,0.05,1098,6,6,,,
HD 20794 b,Confirmed,0.00887,0.0025,0.00031,0.00887,0.0025,0.00031,,,,18.33,0.02,0.01,0.127,0.001,0.001,0.27,0.22,0.04,,,,0.019917,2011,25/06/2017,26,5,27,,,,,,,,,,,,,,,,,,,,,,0.81,0.24,0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,82 Eri b,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14,5,6,5490,70,70,IR Excess,,
HD 20794 d,Confirmed,0.0111,0.00318,0.0018,0.0111,0.00318,0.0018,,,,88.9,0.41,0.37,0.364,0.004,0.004,0.25,0.21,0.1,,,,0.057739,2011,25/06/2017,252,44,48,,,,,,,,,,,,,,,,,,,,,,0.6,0.18,0.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,82 Eri d,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14,5,6,5490,70,70,IR Excess,,
HD 20794 e,Confirmed,0.015,0.0027,0.003,0.015,0.0027,0.003,,,,147.02,0.91,1.43,0.509,0.006,0.006,0.29,0.17,0.14,,,,,2017,25/06/2017,268,32,47,,,,,,,,,,,,,,,,,,,,,,0.69,0.13,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,82 Eri e,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14,5,6,5490,70,70,IR Excess,,
GJ 581 b,Confirmed,0.05,,,0.05,,,,,,5.36865,9.00E-05,9.00E-05,0.041,,,0.031,0.014,0.014,,,,0.006602,2005,23/02/2016,251,26,26,2454753.95,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 581 c,Confirmed,0.017,,,0.017,,,,,,12.9182,0.0022,0.0022,0.073,,,0.07,0.06,0.06,,,,0.011755,2007,23/02/2016,235,44,44,2454763,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 581 e,Confirmed,0.0061,,,0.0061,,,,,,3.14945,0.00017,0.00017,0.028,,,0.32,0.09,0.09,,,,0.004509,2009,23/02/2016,236,17,17,2454750.31,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 625 b,Confirmed,0.0095,0.0016,0.0015,0.0095,0.0016,0.0015,,,,14.638,0.013,0.012,0.078399,4.50E-05,4.20E-05,0.13,0.09,0.13,,,,,2017,19/05/2017,240,180,70,,,,,,,,,,,,,,,,,,,,,,1.79,0.3,0.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 625,246.3541667,54.30333334,10.17,,,,,6.49,,,-0.38,0.09,0.09,0.3,0.07,0.07,0.31,0.06,0.06,M2,,,,3499,68,68,,,
HD 219134 b,Confirmed,0.012,0.001,0.001,0.012,0.001,0.001,0.1433,0.0077,0.0077,3.0931,0.0001,0.0001,0.038474,8.00E-07,8.00E-07,0,0,0.13,85.058,0.08,0.08,,2015,25/11/2015,,,,2449999.5,0.2,0.2,,,,2457126.7,0.001,0.001,,,,,,,,,,,,,1.9,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
HD 219134 c,Confirmed,0.011,0.002,0.002,0.011,0.002,0.002,,,,6.7635,0.0006,0.0006,0.064816,4.00E-06,4.00E-06,0,0,0.26,,,,,2015,17/11/2015,,,,2449908.5,0.5,0.5,,,,,,,,,,,,,,,,,,,1.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
HD 219134 d,Confirmed,0.067,0.004,0.004,0.067,0.004,0.004,,,,46.71,0.01,0.01,0.23508,4.00E-06,4.00E-06,0,,,,,,,2015,17/11/2015,,,,2449964,1,1,,,,,,,,,,,,,,,,,,,4.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
HD 219134 e,Confirmed,0.0117,0.006,0.19,0.0117,0.006,0.19,,,,1190,34,379,2.56,0.15,3.41,0.34,0.17,0.17,,,,,2015,05/05/2016,345.42,36.83,16.38,,,,,,,,,,,,,,,,,,,,,,5.05,1.57,1.57,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
HD 219134 g,Confirmed,0.034,0.004,0.004,0.034,0.004,0.004,,,,94.2,0.2,0.2,0.3753,0.0004,0.0004,0,,,,,,,2015,17/11/2015,,,,2449972,5,5,,,,,,,,,,,,,,,,,,,1.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
HD 219134 h,Confirmed,0.28,0.056,0.056,0.28,0.056,0.056,,,,2198,51,51,3.064,0.048,0.048,0.37,0.18,0.18,,,,,2015,18/02/2016,180,19,19,2448616.291,,,,,,,,,,,,,,,,,,,,,5.5,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
WISE J0720-0846,Confirmed,62,0.11,0.09,,,,,,,1388,475,1096,1.3,0.3,0.6,0.8,0.6,0,93.5,1.6,2,,2014,24/11/2015,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE J0720-0846,110.0125,-8.78083336,,,,,,6.8,0.7,0.7,,,,0.081,0.016,0.028,,,,M,,,,,,,,,
GJ 667 C b,Confirmed,0.0176,0.0041,0.0044,0.0176,0.0041,0.0044,,,,7.2004,0.0017,0.0017,0.0505,0.0053,0.0044,0.13,0.11,0.1,,,,0.007368,2009,23/02/2016,5.7,360,360,2454443.1,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2,nan,inf,3600,,,,,
GJ 667 C c,Confirmed,0.012,0.0038,0.0047,0.012,0.0038,0.0047,,,,28.14,0.03,0.03,0.125,0.013,0.012,0.02,0.02,0.15,,,,0.018289,2011,08/10/2016,292,360,360,2454462,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2,nan,inf,3600,,,,,
GJ 667 C d,Confirmed,0.01604,0.00535,0.00566,0.01604,0.00535,0.00566,,,,91.61,0.89,0.81,0.276,0.03,0.024,0.03,0.03,0.2,,,,0.044371,2012,23/02/2016,40.11,360,360,2454499,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2,nan,inf,3600,,,,,
GJ 667 C e,Confirmed,0.0085,0.0044,0.005,0.0085,0.0044,0.005,,,,62.24,0.55,0.55,0.213,0.02,0.02,0.02,0.02,0.004,,,,,2013,23/02/2016,28.65,360,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2,nan,inf,3600,,,,,
GJ 667 C f,Confirmed,0.0085,0.0038,0.0044,0.0085,0.0038,0.0044,,,,39.026,0.211,0.194,0.156,0.017,0.014,0.03,0.03,0.16,,,,,2013,23/02/2016,103,360,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2,nan,inf,3600,,,,,
GJ 667 C g,Confirmed,0.0145,0.0072,0.0082,0.0145,0.0072,0.0082,,,,256.2,7.9,13.8,0.549,0.058,0.052,0.08,0.08,0.41,,,,,2013,23/02/2016,51.56,360,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2,nan,inf,3600,,,,,
HD 95872 b,Confirmed,4.6,0.3,0.3,4.6,0.3,0.3,,,,4375,169,169,5.2,0.1,0.1,0.06,0.04,0.04,,,,,2015,10/12/2015,17,67,67,2449869,744,744,,,,,,,,,,,,,,,,,,,59,4,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 95872,165.8666667,-22.0938889,9.9,,,,,7.56,,,0.41,0.09,0.09,0.95,,,,,,K0V,10,3.7,3.7,5312,100,100,,,
