# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
GJ 682 b,Confirmed,0.013843879,0.007548999,0.01163804,0.013843879,0.007548999,0.01163804,,,,17.478,0.04,0.062,0.08,0.004,0.014,0.08,0.08,0.19,,,,,2014,25/05/2014,85.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 682,264.2652601,-43.68078619,,,,,,,,,,,,0.27,,,,,,M3.5V,,,,3028,,,,,
GJ 682 c,Confirmed,0.027365121,0.014468914,0.018243414,0.027365121,0.014468914,0.018243414,,,,57.32,0.48,0.45,0.176,0.009,0.03,0.1,0.1,0.19,,,,,2014,25/05/2014,320.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 682,264.2652601,-43.68078619,,,,,,,,,,,,0.27,,,,,,M3.5V,,,,3028,,,,,
GP Com b,Confirmed,26.2,16.6,16.6,,,,,,,0.032,,,,,,,,,55.5,22.5,22.5,,2016,25/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,GP Com,196.4267917,18.01777778,16.22,,,,,,,,,,,0.33,0,inf,,,,DBe D,,,,,,,,,
HD 119445 b,Confirmed,37.6,2.6,2.6,37.6,2.6,2.6,,,,410.2,0.6,0.6,1.71,0.06,0.06,0.082,0.007,0.007,,,,,2009,21/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,413.5,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 119445,205.6200278,41.67428427,6.304,,,,,,,,0.04,0.18,0.18,3.9,0.4,0.4,20.5,9.3,9.3,G6,,,,5083,103,103,,,
HD 145934 b,Confirmed,2.28,0.6,0.6,2.28,0.6,0.6,,,,2730,100,100,4.6,0.14,0.14,0.053,0.053,0.053,,,,,2015,07/01/2015,215,62,62,2451430,370,370,,,,,,,,,,,,,,,,,,,22.9,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 145934,243.2916667,13.23944445,7.6,,,,,,,,,,,1.748,0.1,0.1,5.38,0.44,0.44,K0,,,,,,,,,
HD 191806 b,Confirmed,8.52,0.63,0.63,8.52,0.63,0.63,,,,1606.3,7.2,7.2,2.8,0.1,0.1,0.259,0.017,0.017,,,,,2016,29/04/2016,,,,2455014,18,18,,,,,,,,,,,,,,,,,,,140.5,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 191806,302.3679167,52.27633057,8.093,,,,,,,,0.3,0.02,0.02,1.14,0.12,0.12,,,,,2.9,0.4,0.4,6010,30,30,,,
HD 214823 b,Confirmed,19.2,1.4,1.4,19.2,1.4,1.4,,,,1877,15,15,3.18,0.12,0.12,0.154,0.014,0.014,,,,,2016,29/04/2016,,,,2455652,34,34,,,,,,,,,,,,,,,,,,,281.4,3.7,3.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 214823,340.0829167,31.78759169,8.078,,,,,,,,0.17,0.02,0.02,1.22,0.13,0.13,,,,G0V,2.7,0.2,0.2,6215,30,30,,,
HD 216536 b,Confirmed,1.47,0.12,0.2,1.47,0.12,0.2,,,,148.6,0.7,0.7,0.609,0.002,0.002,0.38,0.12,0.12,,,,,2015,10/01/2016,270,21,21,2453587,11,11,,,,,,,,,,,,,,,,,,,50,4,8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 216536,338.95,44.4777778,9.23,,,,,,,,-0.17,0.09,0.09,1.36,0.38,0.38,12.5,4,4,K0,3.8,4.3,2,4639,45,45,,,
HD 219415 b,Confirmed,1,,,1,,,,,,2093.3,32.7,32.7,3.2,,,,,,,,,,2012,17/01/2013,,,,2453460.9,57.7,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 219415,348.725,56.7303,8.94,,,,,,,,-0.04,0.07,0.07,1,0.1,0.1,2.9,0.4,0.4,K0III,,,,4820,20,20,,,
HD 221585 b,Confirmed,1.61,0.14,0.14,1.61,0.14,0.14,,,,1173,16,16,2.306,0.081,0.081,0.123,0.069,0.069,,,,,2016,29/04/2016,,,,2455050,93,93,,,,,,,,,,,,,,,,,,,27.9,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 221585,353.225,63.15548056,7.474,,,,,,,,0.29,0.02,0.02,1.19,0.12,0.12,,,,G8IV,6.2,0.5,0.5,5620,27,27,,,
